FISCAL_YR,Channel,total_net_sales,total_custs,FISCAL_QTR,FISCAL_MO,recency_net_sales_total,recency_cust_total,Recency,chan_rec_sales_pct,chan_rec_cust_pct,chan_rec_seg_sales,chan_rec__seg_custs,Customer_Type,Segment,chan_rec_sales,chan_rec__custs,sales_pct,cust_pct,d_p_cust
2018,D,13975449.0619727,130751,1,1,1183313.64575911,12971,2,8.46708853870684e-002,9.92038301810311e-002,85506.7803627029,434,React__Omni,_Omni,1220618.69596086,12606,0.070052,3.442805e-002,197.020231250468
2018,D,23636373.039701,216439,1,2,2240993.50781703,25017,2,9.48112260731767e-002,0.115584529590323,2090394.85777187,22700,React_1,1,2326812.47832264,23945,0.8983942,0.9480059,92.0878791969988
2018,D,23636373.039701,216439,1,2,2240993.50781703,25017,2,9.48112260731767e-002,0.115584529590323,236417.620550767,1245,React__Omni,_Omni,2326812.47832264,23945,0.1016058,5.199415e-002,189.893671125114
2018,D,19606276.8700883,164841,1,3,2211229.67673779,20409,2,0.112781722475381,0.123810217118314,2080774.74657917,18706,React_1,1,2284171.00714406,19618,0.910954,0.9535121,111.235686227904
2018,D,19606276.8700883,164841,1,3,2211229.67673779,20409,2,0.112781722475381,0.123810217118314,203396.260564886,912,React__Omni,_Omni,2284171.00714406,19618,8.904599e-002,4.648792e-002,223.022215531673
2018,D,20889261.7653382,183767,2,4,2173505.02662373,22575,2,0.104048915229271,0.122845777533507,2034611.74657679,20561,React_1,1,2264349.99703309,21618,0.8985412,0.9511055,98.954902318797
2018,D,20889261.7653382,183767,2,4,2173505.02662373,22575,2,0.104048915229271,0.122845777533507,229738.250456303,1057,React__Omni,_Omni,2264349.99703309,21618,0.1014588,4.889444e-002,217.349338180041
2018,D,21463118.0543538,200209,2,5,1929277.20590353,21400,2,8.98880209770906e-002,0.106888301724698,1784442.56476188,19111,React_1,1,1988854.31636975,20219,0.8972213,0.9452001,93.3725375313629
2018,D,21463118.0543538,200209,2,5,1929277.20590353,21400,2,8.98880209770906e-002,0.106888301724698,204411.751607869,1108,React__Omni,_Omni,1988854.31636975,20219,0.1027786,5.479994e-002,184.487140440315
2018,D,14887841.2669297,165088,2,6,1156340.18736506,15451,2,7.76701045257397e-002,9.35925082380306e-002,1092413.05719781,14081,React_1,1,1197535.72775003,14825,0.9122175,0.9498145,77.5806446415602
2018,D,14887841.2669297,165088,2,6,1156340.18736506,15451,2,7.76701045257397e-002,9.35925082380306e-002,105122.67055222,744,React__Omni,_Omni,1197535.72775003,14825,8.778249e-002,5.01855e-002,141.293912032554
2018,D,14047948.0519474,148762,3,7,1131583.89789629,14205,2,8.05515434504634e-002,9.54880950780441e-002,1074432.97739077,13203,React_1,1,1149213.62789392,13692,0.9349288,0.9642857,81.3779426941427
2018,D,14047948.0519474,148762,3,7,1131583.89789629,14205,2,8.05515434504634e-002,9.54880950780441e-002,74780.6505031586,489,React__Omni,_Omni,1149213.62789392,13692,6.507115e-002,3.571429e-002,152.925665650631
2018,D,22840199.4828761,181300,3,8,2179825.79551315,21265,2,9.54381242224889e-002,0.117291781577496,2028039.7443161,19260,React_1,1,2284957.84579749,20485,0.8875611,0.9402002,105.298013723577
2018,D,22840199.4828761,181300,3,8,2179825.79551315,21265,2,9.54381242224889e-002,0.117291781577496,256918.101481386,1225,React__Omni,_Omni,2284957.84579749,20485,0.1124389,5.979985e-002,209.729062433784
2018,D,19141348.8175062,144468,3,9,2194871.86936665,18815,2,0.114666520645571,0.130236453747543,2077520.24850178,17440,React_1,1,2270620.19966435,18257,0.9149572,0.95525,119.123867459964
2018,D,19141348.8175062,144468,3,9,2194871.86936665,18815,2,0.114666520645571,0.130236453747543,193099.951162569,817,React__Omni,_Omni,2270620.19966435,18257,8.504282e-002,4.474996e-002,236.352449403389
2018,D,25125217.6664745,223096,4,10,2585508.29158878,28197,2,0.102904911149834,0.126389536343099,2465585.94956493,26322,React_1,1,2649807.00134581,27323,0.9304776,0.9633642,93.670159925725
2018,D,25125217.6664745,223096,4,10,2585508.29158878,28197,2,0.102904911149834,0.126389536343099,184221.051780876,1001,React__Omni,_Omni,2649807.00134581,27323,6.952244e-002,3.66358e-002,184.03701476611
2018,D,21032076.0773907,207167,4,11,2179097.76749158,25040,2,0.103608305688571,0.120868671168671,2047815.22510934,22755,React_1,1,2265600.22825346,24107,0.9038731,0.9439167,89.9940771307114
2018,D,21032076.0773907,207167,4,11,2179097.76749158,25040,2,0.103608305688571,0.120868671168671,217785.003144119,1352,React__Omni,_Omni,2265600.22825346,24107,9.612685e-002,5.60833e-002,161.083582207189
2018,D,13181980.3153505,144303,4,12,931490.893863201,12342,2,7.06639572795046e-002,8.55283673936093e-002,888890.14370203,11477,React_1,1,958067.674176313,11972,0.9277948,0.9586535,77.4496944935114
2018,D,13181980.3153505,144303,4,12,931490.893863201,12342,2,7.06639572795046e-002,8.55283673936093e-002,69177.5304742828,495,React__Omni,_Omni,958067.674176313,11972,7.220527e-002,4.134648e-002,139.752586816733
2018,R,25984910.8075265,162619,1,1,2924579.13148166,20437,2,0.112549131037793,0.125674121720094,2797582.45099206,19638,React_1,1,2887274.08127991,20003,0.9689355,0.9817528,142.457605203792
2018,R,25984910.8075265,162619,1,1,2924579.13148166,20437,2,0.112549131037793,0.125674121720094,89691.6302878484,365,React__Omni,_Omni,2887274.08127991,20003,3.106447e-002,1.824726e-002,245.730493939311
2018,R,46923019.5253469,278165,1,2,5478066.24501011,38653,2,0.116745816881008,0.138957093811227,5085183.35477951,36336,React_1,1,5392247.2745045,37408,0.9430546,0.971343,139.948903423038
2018,R,46923019.5253469,278165,1,2,5478066.24501011,38653,2,0.116745816881008,0.138957093811227,307063.919724993,1072,React__Omni,_Omni,5392247.2745045,37408,5.694544e-002,2.865697e-002,286.440223624061
2018,R,42252886.1876336,234895,1,3,5558477.40144794,33714,2,0.131552608661199,0.143527959300964,5236231.91051769,32011,React_1,1,5485536.07104166,32802,0.9545525,0.9758856,163.576017947508
2018,R,42252886.1876336,234895,1,3,5558477.40144794,33714,2,0.131552608661199,0.143527959300964,249304.160523973,791,React__Omni,_Omni,5485536.07104166,32802,4.544755e-002,2.411438e-002,315.175929865959
2018,R,46557260.6450495,271674,2,4,6174127.03077915,39745,2,0.132613623422787,0.14629666438452,5789635.83020099,37731,React_1,1,6083282.06036979,38688,0.951729,0.9752637,153.44506719146
