,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Company Planning Overview,,,,Feb 2019,,,,,Mar 2019,,,,,,Apr 2019,,,,,May 2019,,,,,Jun 2019,,,,,,Jul 2019,,,,,,,,Aug 2019,,,,,Sep 2019,,,,,,Oct 2019,,,,,Nov 2019,,,,,Dec 2019,,,,,,Jan 2019,,,,,,,,,,,,,,,
,TDPPvsTLRP,,,Actual to LY %,-6.0%,5.9%,-14.4%,-8.5%,-6.3%,-4.3%,-26.7%,12.7%,3.3%,-10.9%,11.1%,-3.3%,12.6%,5.4%,-17.8%,-5.8%,-8.3%,-18.8%,-7.8%,-1.5%,-1.8%,3.1%,2.6%,3.6%,-5.3%,7.8%,5.3%,2.3%,-1.7%,-2.9%,4.8%,10.9%,-4.4%,-1.7%,-3.1%,-5.9%,-6.3%,1.0%,-15.4%,-4.1%,0.9%,0.2%,-7.4%,2.9%,5.1%,3.3%,-2.6%,-4.6%,0.1%,-15.6%,10.1%,-2.1%,-13.8%,8.4%,-13.3%,12.9%,-0.8%,3.3%,1.4%,-1.6%,-5.1%,-3.8%,3.7%,0.9%,0.9%,8.0%,5.8%,-1.9%,-0.3%,-1.2%,-2.2%,,,Retail,,,,TRUE,
,TDPP,Sls Total FP Rtl,Retail Full Price Sales (Stores & Concierge),Actual (TY) / Forecast,"$ 18,850.8","$ 4,653.1","$ 3,795.0","$ 4,152.5","$ 6,250.2","$ 34,830.9","$ 5,613.7","$ 6,843.5","$ 5,890.8","$ 9,908.2","$ 6,574.8","$ 33,427.4","$ 8,045.1","$ 8,174.5","$ 8,840.1","$ 8,367.7","$ 33,076.6","$ 9,771.5","$ 6,394.2","$ 8,492.1","$ 8,418.8","$ 29,378.3","$ 6,738.4","$ 7,504.9","$ 4,997.9","$ 5,723.2","$ 4,413.9","$ 15,191.8","$ 4,695.8","$ 3,554.5","$ 3,078.0","$ 3,863.6","$ 87,109.1","$ 77,646.7","$ 164,755.7","$ 17,244.2","$ 4,241.8","$ 4,059.4","$ 3,288.9","$ 5,654.1","$ 39,367.7","$ 6,764.4","$ 7,076.6","$ 9,082.1","$ 6,631.8","$ 9,812.8","$ 30,428.7","$ 7,225.8","$ 8,224.2","$ 6,577.7","$ 8,400.9","$ 30,085.4","$ 6,829.1","$ 7,772.5","$ 7,074.9","$ 8,408.8","$ 26,417.8","$ 7,446.7","$ 6,961.2","$ 5,958.0","$ 3,398.6","$ 2,653.4","$ 13,301.3","$ 3,800.5","$ 2,508.8","$ 3,074.5","$ 3,917.5","$ 87,040.6","$ 69,804.5","$ 156,845.0","$ 321,600.8",,,Retail,,,,FALSE,
,TDLP,,,Forecast,"$ 22,593.0","$ 5,815.3","$ 4,177.8","$ 4,875.8","$ 7,724.1","$ 35,097.0","$ 6,523.7","$ 6,601.7","$ 5,801.7","$ 9,307.5","$ 6,862.3","$ 36,020.9","$ 7,706.4","$ 9,915.9","$ 9,384.8","$ 9,013.8","$ 33,588.0","$ 10,434.5","$ 6,560.6","$ 6,924.4","$ 9,668.5","$ 27,003.2","$ 6,507.2","$ 6,722.6","$ 5,016.6","$ 4,860.7","$ 3,896.1","$ 16,237.5","$ 4,688.7","$ 4,015.3","$ 3,393.8","$ 4,139.7","$ 93,711.0","$ 76,828.8","$ 170,539.7","$ 18,239.1","$ 5,098.8","$ 4,211.1","$ 3,275.1","$ 5,654.1","$ 38,916.3","$ 6,764.4","$ 6,806.3","$ 9,054.4","$ 6,570.6","$ 9,720.6","$ 30,428.7","$ 7,225.8","$ 8,224.2","$ 6,577.7","$ 8,400.9","$ 30,085.4","$ 6,829.1","$ 7,772.5","$ 7,074.9","$ 8,408.8","$ 26,417.8","$ 7,446.7","$ 6,961.2","$ 5,958.0","$ 3,398.6","$ 2,653.4","$ 13,301.3","$ 3,800.5","$ 2,508.8","$ 3,074.5","$ 3,917.5","$ 87,584.1","$ 69,804.5","$ 157,388.6","$ 327,928.3",,,Retail,,,,TRUE,
,TDOP,,,Plan,"$ 23,603.5","$ 6,077.9","$ 4,577.1","$ 5,262.9","$ 7,685.6","$ 38,112.6","$ 7,515.1","$ 7,787.6","$ 6,306.5","$ 9,459.3","$ 7,044.0","$ 38,152.9","$ 7,970.5","$ 11,222.6","$ 9,163.9","$ 9,795.9","$ 39,596.8","$ 13,545.8","$ 7,828.7","$ 9,876.7","$ 8,345.6","$ 31,045.5","$ 6,821.6","$ 8,890.6","$ 5,745.6","$ 5,417.7","$ 4,170.1","$ 17,912.1","$ 5,290.0","$ 4,227.5","$ 3,843.3","$ 4,551.3","$ 99,869.0","$ 88,554.5","$ 188,423.5","$ 20,008.5","$ 5,541.1","$ 4,537.3","$ 3,541.5","$ 6,388.5","$ 42,012.8","$ 7,370.7","$ 7,293.5","$ 9,665.4","$ 7,084.2","$ 10,599.0","$ 33,814.5","$ 7,999.9","$ 9,083.8","$ 7,384.7","$ 9,346.1","$ 32,692.0","$ 7,423.7","$ 8,996.2","$ 7,416.3","$ 8,855.8","$ 28,958.7","$ 7,982.2","$ 7,537.2","$ 6,672.8","$ 3,725.3","$ 3,041.1","$ 14,269.8","$ 2,445.4","$ 4,005.1","$ 3,770.0","$ 4,049.2","$ 95,835.7","$ 75,920.5","$ 171,756.2","$ 360,179.6",,,Retail,,,,TRUE,
,Var_to_Plan,,,Var to Plan,"$ (4,752.7)","$ (1,424.8)",$ (782.1),"$ (1,110.4)","$ (1,435.4)","$ (3,281.7)","$ (1,901.4)",$ (944.1),$ (415.7),$ 448.9,$ (469.3),"$ (4,725.5)",$ 74.6,"$ (3,048.1)",$ (323.8),"$ (1,428.2)","$ (6,520.2)","$ (3,774.3)","$ (1,434.5)","$ (1,384.6)",$ 73.1,"$ (1,667.2)",$ (83.2),"$ (1,385.7)",$ (747.7),$ 305.6,$ 243.8,"$ (2,720.3)",$ (594.2),$ (673.1),$ (765.3),$ (687.7),"$ (12,759.9)","$ (10,907.8)","$ (23,667.7)","$ (2,764.3)","$ (1,299.3)",$ (477.9),$ (252.6),$ (734.4),"$ (2,645.1)",$ (606.3),$ (216.9),$ (583.3),$ (452.4),$ (786.1),"$ (3,385.8)",$ (774.1),$ (859.6),$ (807.0),$ (945.1),"$ (2,606.7)",$ (594.6),"$ (1,223.6)",$ (341.4),$ (447.0),"$ (2,540.9)",$ (535.5),$ (576.0),$ (714.8),$ (326.8),$ (387.8),$ (968.5),"$ 1,355.0","$ (1,496.3)",$ (695.6),$ (131.7),"$ (8,795.1)","$ (6,116.0)","$ (14,911.1)","$ (38,578.9)",,,Retail,,,,TRUE,
,TDPT,,,Target,"$ 18,850.8","$ 4,653.1","$ 3,795.0","$ 4,152.5","$ 6,250.2","$ 34,830.9","$ 5,613.7","$ 6,843.5","$ 5,890.8","$ 9,908.2","$ 6,574.8","$ 33,427.4","$ 8,045.1","$ 8,174.5","$ 8,840.1","$ 8,367.7","$ 33,925.5","$ 9,772.0","$ 6,382.4","$ 8,102.7","$ 9,668.5","$ 27,262.7","$ 6,662.0","$ 6,823.8","$ 5,282.6","$ 4,890.1","$ 3,604.2","$ 16,549.0","$ 4,456.0","$ 3,794.9","$ 3,725.9","$ 4,572.2","$ 87,109.1","$ 77,737.2","$ 164,846.3","$ 18,628.8","$ 5,207.4","$ 4,287.1","$ 3,334.6","$ 5,799.7","$ 39,831.9","$ 6,917.5","$ 6,952.5","$ 9,264.4","$ 6,695.2","$ 10,002.2","$ 31,848.3","$ 7,577.2","$ 8,598.4","$ 6,850.0","$ 8,822.7","$ 31,335.7","$ 7,094.4","$ 8,101.6","$ 7,371.1","$ 8,768.6","$ 27,825.8","$ 7,864.7","$ 7,329.4","$ 6,250.6","$ 3,574.9","$ 2,806.2","$ 14,184.5","$ 3,889.1","$ 2,553.6","$ 3,156.1","$ 4,585.7","$ 90,309.0","$ 73,346.0","$ 163,655.0","$ 328,501.3",,,Retail,,,,TRUE,
,TLRP,,,LY,"$ 20,054.8","$ 4,459.4","$ 4,437.4","$ 4,490.3","$ 6,667.7","$ 36,866.4","$ 7,917.7","$ 6,074.0","$ 5,475.5","$ 11,250.4","$ 6,148.9","$ 33,771.3","$ 7,335.5","$ 6,763.6","$ 10,881.1","$ 8,791.2","$ 35,797.6","$ 12,068.0","$ 6,939.2","$ 8,432.8","$ 8,357.7","$ 27,460.6","$ 6,578.4","$ 7,230.6","$ 5,293.1","$ 4,842.5","$ 3,516.0","$ 15,709.2","$ 4,261.1","$ 3,830.4","$ 3,464.4","$ 4,153.3","$ 90,692.6","$ 78,967.4","$ 169,659.9","$ 19,348.4","$ 5,127.3","$ 4,039.9","$ 4,178.0","$ 6,003.3","$ 38,789.5","$ 6,706.0","$ 7,459.3","$ 8,770.1","$ 6,358.6","$ 9,495.4","$ 31,020.0","$ 7,591.9","$ 8,264.6","$ 7,805.9","$ 7,357.6","$ 30,996.9","$ 7,954.7","$ 7,052.9","$ 8,414.5","$ 7,574.8","$ 26,575.6","$ 7,108.1","$ 6,882.3","$ 6,156.2","$ 3,626.8","$ 2,802.2","$ 12,867.1","$ 3,818.4","$ 2,466.2","$ 2,892.0","$ 3,690.5","$ 89,157.9","$ 70,439.6","$ 159,597.5","$ 329,257.4",,,Retail,,,,TRUE,
,LLY,,,LLY,"$ 20,249.4","$ 4,369.2","$ 4,212.6","$ 5,022.0","$ 6,645.7","$ 33,604.2","$ 7,289.7","$ 5,400.2","$ 5,583.1","$ 8,730.3","$ 6,600.9","$ 32,933.9","$ 9,970.2","$ 6,479.4","$ 9,243.6","$ 7,240.7","$ 31,760.7","$ 9,812.0","$ 6,549.1","$ 6,077.0","$ 9,322.5","$ 27,687.3","$ 7,191.7","$ 6,755.7","$ 5,197.1","$ 4,889.3","$ 3,653.6","$ 16,631.4","$ 4,216.6","$ 3,741.5","$ 3,681.0","$ 4,992.3","$ 86,787.5","$ 76,079.4","$ 162,866.9","$ 17,488.2","$ 3,879.8","$ 5,633.1","$ 3,674.7","$ 4,300.5","$ 37,596.9","$ 7,699.7","$ 6,837.4","$ 6,719.9","$ 6,520.8","$ 9,819.0","$ 30,613.2","$ 7,672.7","$ 8,069.8","$ 7,027.2","$ 7,843.5","$ 29,644.7","$ 8,839.3","$ 6,320.2","$ 7,281.2","$ 7,204.0","$ 23,017.1","$ 6,961.7","$ 6,793.0","$ 5,193.5","$ 2,287.0","$ 1,781.9","$ 13,430.3","$ 3,184.4","$ 2,588.5","$ 3,141.1","$ 4,516.3","$ 85,698.2","$ 66,092.1","$ 151,790.3","$ 314,657.2",,,Retail,,,,TRUE,
,TDPPvsTDOP,,,Actual to Plan %,-20.1%,-23.4%,-17.1%,-21.1%,-18.7%,-8.6%,-25.3%,-12.1%,-6.6%,4.7%,-6.7%,-12.4%,0.9%,-27.2%,-3.5%,-14.6%,-16.5%,-27.9%,-18.3%,-14.0%,0.9%,-5.4%,-1.2%,-15.6%,-13.0%,5.6%,5.8%,-15.2%,-11.2%,-15.9%,-19.9%,-15.1%,-12.8%,-12.3%,-12.6%,-13.8%,-23.4%,-10.5%,-7.1%,-11.5%,-6.3%,-8.2%,-3.0%,-6.0%,-6.4%,-7.4%,-10.0%,-9.7%,-9.5%,-10.9%,-10.1%,-8.0%,-8.0%,-13.6%,-4.6%,-5.0%,-8.8%,-6.7%,-7.6%,-10.7%,-8.8%,-12.8%,-6.8%,55.4%,-37.4%,-18.4%,-3.3%,-9.2%,-8.1%,-8.7%,-10.7%,,,Retail,,,,TRUE,
,TDPPvsTLRP,,,Actual to LY %,-6.0%,4.3%,-14.5%,-7.5%,-6.3%,-5.5%,-29.1%,12.7%,7.6%,-11.9%,6.9%,-1.0%,9.7%,20.9%,-18.8%,-4.8%,-7.6%,-19.0%,-7.9%,0.7%,0.7%,7.0%,2.4%,3.8%,-5.6%,18.2%,25.5%,-3.3%,10.2%,-7.2%,-11.2%,-7.0%,-4.0%,-1.7%,-2.9%,-10.9%,-17.3%,0.5%,-21.3%,-5.8%,1.5%,0.9%,-5.1%,3.6%,4.3%,3.3%,-1.9%,-4.8%,-0.5%,-15.7%,14.2%,-2.9%,-14.2%,10.2%,-15.9%,11.0%,-0.6%,4.8%,1.1%,-3.2%,-6.3%,-5.3%,3.4%,-0.5%,1.7%,6.3%,6.2%,-2.4%,-0.9%,-1.7%,-2.3%,,,Retail,,,,TRUE,
